INVOICE_NO,CHIPSET / ASP,CPU / MPU,DISCRETE,LINEAR IC,LOGIC IC,MEMORY_EMBEDED,MEMORY_SYSTEM,OPTICAL AND SENSOR,OTHERS,PEMCO
216072029,10082.0,0.0,3435237.0,10321.0,63139.0,0.0,0.0,23306.0,6040.0,0.0
216072030,45.0,0.0,5685136.0,38948.0,50561.0,0.0,0.0,10226.0,23697.0,0.0
216072031,0.0,0.0,30390.0,0.0,21341.0,0.0,0.0,412416.0,0.0,0.0
216072032,0.0,0.0,69250.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0
216072037,0.0,0.0,0.0,225000.0,36000.0,0.0,0.0,0.0,0.0,0.0
216072040,8000.0,432.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
216072052,0.0,0.0,190000.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0
216072053,0.0,0.0,18000.0,0.0,16500.0,0.0,0.0,0.0,0.0,0.0
216072063,18600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216072067,0.0,35000.0,0.0,237000.0,36000.0,0.0,0.0,0.0,0.0,0.0
